# Wavelength(A) Luminosity_density(erg/s/A)
5.748228e+03 6.206805e-06
5.763689e+03 5.805987e-06
5.779233e+03 7.102410e-06
5.794862e+03 7.165153e-06
5.810575e+03 7.785900e-06
5.826374e+03 8.538394e-06
5.842259e+03 9.357961e-06
5.858231e+03 9.046672e-06
5.874290e+03 1.037942e-05
5.890438e+03 1.080132e-05
5.906675e+03 1.210687e-05
5.923001e+03 1.002758e-05
5.939418e+03 1.205627e-05
5.955926e+03 1.284364e-05
5.972526e+03 1.297780e-05
5.989219e+03 1.523562e-05
6.006006e+03 1.472908e-05
6.022887e+03 1.593344e-05
6.039863e+03 1.684286e-05
6.056935e+03 1.870402e-05
6.074104e+03 2.317956e-05
6.091371e+03 2.201517e-05
6.108735e+03 2.307511e-05
6.126200e+03 2.335777e-05
6.143764e+03 2.255978e-05
6.161430e+03 2.645378e-05
6.179197e+03 2.772242e-05
6.197067e+03 3.123853e-05
6.215040e+03 2.818354e-05
6.233119e+03 3.001165e-05
6.251302e+03 3.182648e-05
6.269592e+03 4.030968e-05
6.287990e+03 4.312104e-05
6.306496e+03 4.500952e-05
6.325111e+03 4.227947e-05
6.343836e+03 4.802978e-05
6.362672e+03 5.109127e-05
6.381621e+03 5.322669e-05
6.400683e+03 6.321802e-05
6.419859e+03 5.974254e-05
6.439150e+03 6.332005e-05
6.458558e+03 7.111906e-05
6.478083e+03 7.183288e-05
6.497726e+03 7.993705e-05
6.517489e+03 8.471661e-05
6.537372e+03 9.621369e-05
6.557377e+03 8.542709e-05
6.577505e+03 9.897043e-05
6.597757e+03 8.644843e-05
6.618134e+03 1.221330e-04
6.638637e+03 1.134689e-04
6.659267e+03 1.293422e-04
6.680027e+03 1.218178e-04
6.700916e+03 1.323782e-04
6.721936e+03 1.296567e-04
6.743088e+03 1.652696e-04
6.764374e+03 1.644954e-04
6.785795e+03 1.621852e-04
6.807352e+03 1.695060e-04
6.829046e+03 1.858893e-04
6.850879e+03 2.307751e-04
6.872852e+03 2.223377e-04
6.894967e+03 2.283756e-04
6.917224e+03 2.124738e-04
6.939625e+03 2.950481e-04
6.962172e+03 2.544277e-04
6.984866e+03 2.745193e-04
7.007708e+03 2.786007e-04
7.030701e+03 3.417619e-04
7.053844e+03 3.061720e-04
7.077141e+03 3.586099e-04
7.100592e+03 3.849764e-04
7.124199e+03 4.365883e-04
7.147963e+03 3.862419e-04
7.171886e+03 4.522401e-04
7.195970e+03 5.117724e-04
7.220217e+03 5.736577e-04
7.244627e+03 5.036123e-04
7.269203e+03 6.079430e-04
7.293946e+03 6.112356e-04
7.318858e+03 6.890446e-04
7.343941e+03 5.765857e-04
7.369197e+03 7.591463e-04
7.394627e+03 7.721717e-04
7.420233e+03 7.942447e-04
7.446016e+03 7.688384e-04
7.471980e+03 8.843576e-04
7.498126e+03 1.021592e-03
7.524454e+03 9.224220e-04
7.550969e+03 1.014310e-03
7.577671e+03 1.261314e-03
7.604563e+03 1.330721e-03
7.631646e+03 1.259882e-03
7.658923e+03 1.357559e-03
7.686395e+03 1.550543e-03
7.714065e+03 1.629698e-03
7.741935e+03 1.435577e-03
7.770008e+03 1.787713e-03
7.798284e+03 1.775369e-03
7.826767e+03 2.034043e-03
7.855459e+03 2.158978e-03
7.884363e+03 2.119998e-03
7.913479e+03 2.239105e-03
7.942812e+03 2.460027e-03
7.972363e+03 2.649133e-03
8.002134e+03 2.764185e-03
8.032128e+03 2.953087e-03
8.062349e+03 2.771615e-03
8.092797e+03 2.989058e-03
8.123477e+03 3.149631e-03
8.154390e+03 3.512145e-03
8.185539e+03 3.575367e-03
8.216927e+03 4.122060e-03
8.248557e+03 3.925692e-03
8.280431e+03 3.799924e-03
8.312552e+03 5.064225e-03
8.344924e+03 4.832619e-03
8.377548e+03 4.630212e-03
8.410429e+03 6.171524e-03
8.443569e+03 5.587874e-03
8.476971e+03 6.852821e-03
8.510638e+03 5.875265e-03
8.544574e+03 7.421983e-03
8.578782e+03 7.233668e-03
8.613264e+03 8.779877e-03
8.648025e+03 8.266185e-03
8.683068e+03 7.662396e-03
8.718396e+03 8.606732e-03
8.754012e+03 9.934607e-03
8.789921e+03 1.135541e-02
8.826125e+03 1.095622e-02
8.862629e+03 1.269180e-02
8.899436e+03 1.094536e-02
8.936550e+03 1.166555e-02
8.973976e+03 1.313761e-02
9.011715e+03 1.381784e-02
9.049774e+03 1.679993e-02
9.088155e+03 1.504668e-02
9.126863e+03 1.534970e-02
9.165903e+03 1.789945e-02
9.205278e+03 1.797674e-02
9.244992e+03 1.900940e-02
9.285051e+03 1.976428e-02
9.325459e+03 2.204485e-02
9.366219e+03 2.300065e-02
9.407338e+03 2.607927e-02
9.448819e+03 2.503609e-02
9.490667e+03 2.727788e-02
9.532888e+03 2.620305e-02
9.575487e+03 2.848132e-02
9.618468e+03 3.230244e-02
9.661836e+03 3.016765e-02
9.705597e+03 3.463121e-02
9.749756e+03 3.796408e-02
9.794319e+03 3.546737e-02
9.839292e+03 4.478081e-02
9.884679e+03 4.700575e-02
9.930487e+03 4.362771e-02
9.976721e+03 5.037901e-02
