# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
5733.50,1.663000e+03
5740.50,1.568000e+03
5747.50,1.601000e+03
5754.50,1.659000e+03
5761.50,1.519000e+03
5768.50,1.542000e+03
5775.50,1.554000e+03
5782.50,1.595000e+03
5789.50,1.478000e+03
5796.50,1.503000e+03
5803.50,1.567000e+03
5810.50,1.493000e+03
5817.50,1.524000e+03
5824.50,1.594000e+03
5831.50,1.468000e+03
5838.50,1.500000e+03
5845.50,1.445000e+03
5852.50,1.462000e+03
5859.50,1.552000e+03
5866.50,1.475000e+03
5873.50,1.509000e+03
5880.50,1.458000e+03
5887.50,1.436000e+03
5894.50,1.437000e+03
5901.50,1.480000e+03
5908.50,1.423000e+03
5915.50,1.498000e+03
5922.50,1.392000e+03
5929.50,1.439000e+03
5936.50,1.454000e+03
5943.50,1.419000e+03
5950.50,1.404000e+03
5957.50,1.438000e+03
5964.50,1.383000e+03
5971.50,1.396000e+03
5978.50,1.426000e+03
5985.50,1.380000e+03
5992.50,1.421000e+03
5999.50,1.345000e+03
6006.50,1.337000e+03
6013.50,1.330000e+03
6020.50,1.381000e+03
6027.50,1.333000e+03
6034.50,1.392000e+03
6041.50,1.297000e+03
6048.50,1.319000e+03
6055.50,1.386000e+03
6062.50,1.387000e+03
6069.50,1.404000e+03
6076.50,1.407000e+03
6083.50,1.321000e+03
6090.50,1.302000e+03
6097.50,1.211000e+03
6104.50,1.284000e+03
6111.50,1.294000e+03
6118.50,1.329000e+03
6125.50,1.294000e+03
6132.50,1.375000e+03
6139.50,1.247000e+03
6146.50,1.268000e+03
6153.50,1.303000e+03
6160.50,1.248000e+03
6167.50,1.263000e+03
6174.50,1.272000e+03
6181.50,1.269000e+03
6188.50,1.213000e+03
6195.50,1.296000e+03
6202.50,1.283000e+03
6209.50,1.248000e+03
6216.50,1.187000e+03
6223.50,1.213000e+03
6230.50,1.191000e+03
6237.50,1.187000e+03
6244.50,1.231000e+03
6251.50,1.271000e+03
6258.50,1.283000e+03
6265.50,1.224000e+03
6272.50,1.270000e+03
6279.50,1.270000e+03
6286.50,1.232000e+03
6293.50,1.223000e+03
6300.50,1.196000e+03
6307.50,1.144000e+03
6314.50,1.174000e+03
6321.50,1.151000e+03
6328.50,1.109000e+03
6335.50,1.167000e+03
6342.50,1.201000e+03
6349.50,1.178000e+03
6356.50,1.222000e+03
6363.50,1.188000e+03
6370.50,1.181000e+03
6377.50,1.170000e+03
6384.50,1.137000e+03
6391.50,1.095000e+03
6398.50,1.113000e+03
6405.50,1.137000e+03
6412.50,1.088000e+03
6419.50,1.131000e+03
6426.50,1.154000e+03
6433.50,1.198000e+03
6440.50,1.132000e+03
6447.50,1.121000e+03
6454.50,1.098000e+03
6461.50,1.094000e+03
6468.50,1.086000e+03
6475.50,1.112000e+03
6482.50,1.141000e+03
6489.50,1.083000e+03
6496.50,1.110000e+03
6503.50,1.056000e+03
6510.50,1.142000e+03
6517.50,1.077000e+03
6524.50,1.085000e+03
6531.50,1.131000e+03
6538.50,1.104000e+03
6545.50,1.063000e+03
6552.50,1.079000e+03
6559.50,1.045000e+03
6566.50,1.049000e+03
6573.50,1.050000e+03
6580.50,1.111000e+03
6587.50,1.042000e+03
6594.50,1.038000e+03
6601.50,1.113000e+03
6608.50,1.052000e+03
6615.50,1.012000e+03
6622.50,1.057000e+03
6629.50,1.034000e+03
6636.50,1.052000e+03
6643.50,1.003000e+03
6650.50,1.044000e+03
6657.50,1.006000e+03
6664.50,1.030000e+03
6671.50,1.020000e+03
6678.50,9.500000e+02
6685.50,9.630000e+02
6692.50,1.006000e+03
6699.50,9.730000e+02
6706.50,9.980000e+02
6713.50,1.014000e+03
