# Wavelength(A) Luminosity_density(erg/s/A)
6.572461e+03 9.092374e+38
6.567426e+03 4.889744e+38
6.562397e+03 1.171526e+39
6.557377e+03 9.252993e+38
6.552364e+03 1.173117e+39
6.547359e+03 8.045952e+38
6.542362e+03 7.411900e+38
6.537372e+03 6.005032e+38
6.532390e+03 9.196857e+38
6.527415e+03 1.061305e+39
6.522448e+03 7.928077e+38
6.517489e+03 9.311956e+38
6.512537e+03 1.197548e+39
6.507592e+03 1.074772e+39
6.502655e+03 9.454422e+38
6.497726e+03 1.378512e+39
6.492804e+03 1.006791e+39
6.487889e+03 6.928572e+38
6.482982e+03 8.739546e+38
6.478082e+03 1.245292e+39
6.473190e+03 8.150406e+38
6.468305e+03 1.072803e+39
6.463428e+03 1.517223e+39
6.458558e+03 8.352043e+38
6.453695e+03 1.144969e+39
6.448839e+03 1.523078e+39
6.443991e+03 6.966787e+38
6.439150e+03 9.536161e+38
6.434316e+03 1.275466e+39
6.429490e+03 1.018743e+39
6.424671e+03 1.069340e+39
6.419859e+03 1.208020e+39
6.415054e+03 6.421769e+38
6.410256e+03 1.046720e+39
6.405466e+03 1.162656e+39
6.400683e+03 1.152690e+39
6.395907e+03 1.096504e+39
6.391138e+03 1.074709e+39
6.386376e+03 1.284182e+39
6.381621e+03 7.892609e+38
6.376873e+03 1.211698e+39
6.372133e+03 1.352285e+39
6.367399e+03 1.110709e+39
6.362672e+03 1.046997e+39
6.357953e+03 6.544501e+38
6.353240e+03 9.642402e+38
6.348535e+03 5.769613e+38
6.343836e+03 1.453703e+39
6.339144e+03 8.666024e+38
6.334459e+03 1.180517e+39
6.329782e+03 1.382130e+39
6.325111e+03 1.394457e+39
6.320447e+03 6.687339e+38
6.315789e+03 1.258168e+39
6.311139e+03 7.799366e+38
6.306496e+03 9.320391e+38
6.301859e+03 1.601415e+39
6.297229e+03 1.100523e+39
6.292606e+03 1.120957e+39
6.287990e+03 1.013621e+39
6.283380e+03 1.268196e+39
6.278778e+03 7.421668e+38
6.274182e+03 1.150819e+39
6.269592e+03 9.405081e+38
6.265010e+03 8.828369e+38
6.260434e+03 1.142431e+39
6.255865e+03 1.456774e+39
6.251302e+03 8.725731e+38
6.246746e+03 1.268919e+39
6.242197e+03 1.354543e+39
6.237655e+03 7.839229e+38
6.233119e+03 8.631863e+38
6.228589e+03 9.530332e+38
6.224066e+03 1.034477e+39
6.219550e+03 1.571431e+39
6.215040e+03 9.693150e+38
6.210537e+03 8.146357e+38
6.206041e+03 6.152141e+38
6.201550e+03 1.225657e+39
6.197067e+03 9.523908e+38
6.192590e+03 8.262122e+38
6.188119e+03 1.234336e+39
6.183655e+03 4.896501e+38
6.179197e+03 5.466952e+38
6.174745e+03 7.518914e+38
6.170300e+03 1.265909e+39
6.165862e+03 9.774087e+38
6.161429e+03 6.957534e+38
6.157004e+03 8.352152e+38
6.152584e+03 4.914729e+38
6.148171e+03 4.233422e+38
6.143764e+03 1.118044e+39
6.139364e+03 1.037129e+39
6.134969e+03 4.224006e+38
6.130581e+03 2.807945e+38
6.126200e+03 2.850566e+38
6.121824e+03 5.733989e+38
6.117455e+03 7.767698e+38
6.113092e+03 7.659412e+38
6.108735e+03 6.986542e+38
6.104385e+03 7.047867e+38
6.100041e+03 4.162610e+38
6.095703e+03 5.570211e+38
6.091371e+03 4.274141e+38
6.087045e+03 5.035055e+38
6.082725e+03 7.859565e+38
6.078412e+03 5.587600e+38
6.074104e+03 5.495616e+38
6.069803e+03 5.558129e+38
6.065507e+03 5.826977e+38
6.061218e+03 4.287922e+38
6.056935e+03 5.569283e+38
6.052658e+03 5.748286e+38
6.048387e+03 4.995210e+38
6.044122e+03 9.471871e+38
6.039863e+03 5.619280e+38
6.035610e+03 2.779483e+38
6.031363e+03 5.788175e+38
6.027122e+03 7.734080e+38
6.022887e+03 1.230850e+39
6.018658e+03 5.180457e+38
6.014435e+03 5.861758e+38
6.010217e+03 6.523069e+38
6.006006e+03 5.087096e+38
6.001801e+03 6.645728e+38
5.997601e+03 8.138078e+38
5.993407e+03 5.177126e+38
5.989219e+03 6.573690e+38
5.985037e+03 3.736008e+38
5.980861e+03 1.162945e+39
5.976691e+03 8.708540e+38
5.972526e+03 6.722137e+38
5.968368e+03 6.007285e+38
5.964215e+03 6.025474e+38
5.960068e+03 7.525661e+38
5.955926e+03 7.500666e+38
5.951790e+03 1.328993e+39
5.947661e+03 1.282219e+39
5.943536e+03 8.221609e+38
5.939418e+03 9.646794e+38
5.935305e+03 8.393323e+38
5.931198e+03 7.528952e+38
5.927097e+03 8.302352e+38
5.923001e+03 8.289272e+38
5.918911e+03 9.091184e+38
5.914826e+03 6.899348e+38
5.910748e+03 1.062147e+39
5.906675e+03 1.201414e+39
5.902607e+03 1.378629e+39
5.898545e+03 1.223005e+39
5.894489e+03 7.626920e+38
5.890438e+03 6.983902e+38
5.886393e+03 5.367745e+38
5.882353e+03 9.081300e+38
5.878319e+03 8.444335e+38
5.874290e+03 1.532947e+39
5.870267e+03 9.315750e+38
5.866250e+03 6.773107e+38
5.862237e+03 6.208277e+38
5.858231e+03 6.950320e+38
5.854230e+03 2.253756e+38
5.850234e+03 7.785295e+38
5.846244e+03 7.310651e+38
5.842259e+03 6.213352e+38
5.838280e+03 9.171007e+38
5.834306e+03 7.784183e+38
5.830337e+03 4.708549e+38
5.826374e+03 9.281438e+38
5.822416e+03 9.207291e+38
5.818464e+03 6.861035e+38
5.814517e+03 8.514794e+38
5.810575e+03 7.683800e+38
5.806639e+03 9.402055e+38
5.802708e+03 4.595841e+38
5.798782e+03 1.504307e+38
5.794862e+03 3.853590e+38
5.790947e+03 5.309989e+38
5.787037e+03 1.167503e+39
5.783133e+03 7.802467e+38
5.779233e+03 7.694472e+38
5.775339e+03 6.991635e+38
5.771451e+03 1.010440e+39
5.767567e+03 6.373994e+38
5.763689e+03 5.496416e+38
5.759816e+03 1.079887e+39
5.755948e+03 8.739993e+38
5.752085e+03 9.384725e+38
5.748228e+03 2.305798e+38
5.744375e+03 6.340510e+38
5.740528e+03 7.160541e+38
5.736686e+03 7.683396e+38
5.732849e+03 6.968591e+38
5.729017e+03 3.955066e+38
5.725191e+03 8.558805e+38
5.721369e+03 8.040085e+38
5.717553e+03 8.605966e+38
5.713742e+03 6.471734e+38
5.709935e+03 5.558883e+38
5.706134e+03 7.179822e+38
5.702338e+03 1.043006e+39
5.698547e+03 3.163687e+38
5.694761e+03 8.094047e+38
5.690980e+03 7.280038e+38
5.687204e+03 8.025239e+38
5.683433e+03 7.212895e+38
5.679667e+03 5.563123e+38
5.675906e+03 8.118107e+38
5.672150e+03 7.367845e+38
5.668399e+03 4.994877e+38
5.664653e+03 7.180859e+38
5.660911e+03 5.582215e+38
5.657175e+03 5.010254e+38
5.653444e+03 1.063814e+39
5.649718e+03 8.958228e+38
5.645996e+03 5.608326e+38
5.642279e+03 1.530148e+39
5.638568e+03 9.009593e+38
5.634861e+03 9.843254e+38
5.631159e+03 4.146944e+38
5.627462e+03 1.230255e+39
5.623770e+03 8.237661e+38
5.620082e+03 1.648295e+39
5.616400e+03 5.722085e+38
5.612722e+03 3.285212e+38
5.609049e+03 6.532250e+38
5.605381e+03 1.331763e+39
5.601718e+03 1.080211e+39
5.598059e+03 5.057053e+38
5.594406e+03 1.322156e+39
5.590757e+03 1.179723e+39
5.587112e+03 5.881221e+38
5.583473e+03 7.331089e+38
5.579838e+03 1.009638e+39
5.576208e+03 5.968796e+38
5.572583e+03 1.664047e+39
5.568962e+03 1.953337e+39
5.565346e+03 9.338181e+38
5.561735e+03 1.611952e+39
5.558129e+03 1.329083e+39
5.554527e+03 9.240828e+38
5.550930e+03 1.620561e+39
5.547337e+03 1.779801e+39
5.543749e+03 1.279301e+39
5.540166e+03 1.119446e+39
5.536588e+03 1.341178e+39
5.533014e+03 1.334350e+39
5.529444e+03 7.687513e+38
5.525880e+03 1.191677e+39
5.522319e+03 5.202972e+38
5.518764e+03 1.211032e+39
5.515213e+03 1.217457e+39
5.511666e+03 8.650316e+38
5.508124e+03 2.088638e+39
5.504587e+03 1.332668e+39
5.501054e+03 1.274622e+39
5.497526e+03 9.709785e+38
5.494002e+03 8.706315e+38
5.490483e+03 1.496254e+39
5.486968e+03 1.403789e+39
5.483458e+03 1.302408e+39
5.479953e+03 1.142496e+39
5.476451e+03 1.494402e+39
5.472954e+03 1.866957e+39
5.469462e+03 2.090674e+39
5.465974e+03 1.930167e+39
5.462491e+03 1.317511e+39
5.459012e+03 1.676870e+39
5.455537e+03 1.223963e+39
5.452067e+03 1.326071e+39
5.448602e+03 1.636736e+39
5.445140e+03 1.397449e+39
5.441683e+03 1.083865e+39
5.438231e+03 1.427998e+39
5.434783e+03 1.263522e+39
5.431339e+03 1.404909e+39
5.427899e+03 1.426702e+39
5.424464e+03 1.617811e+39
5.421034e+03 1.427932e+39
5.417607e+03 1.419286e+39
5.414185e+03 1.244769e+39
5.410767e+03 8.901634e+38
5.407354e+03 9.012083e+38
