# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
4714.00,1.590417e+04
4726.00,1.585144e+04
4738.00,1.573108e+04
4750.00,1.563040e+04
4762.00,1.546008e+04
4774.00,1.550529e+04
4786.00,1.523868e+04
4798.00,1.523296e+04
4810.00,1.517273e+04
4822.00,1.500803e+04
4834.00,1.509355e+04
4846.00,1.484175e+04
4858.00,1.483588e+04
4870.00,1.463348e+04
4882.00,1.450605e+04
4894.00,1.456639e+04
4906.00,1.453117e+04
4918.00,1.427854e+04
4930.00,1.429412e+04
4942.00,1.414902e+04
4954.00,1.403922e+04
4966.00,1.400805e+04
4978.00,1.382598e+04
4990.00,1.386205e+04
5002.00,1.372875e+04
5014.00,1.372633e+04
5026.00,1.353296e+04
5038.00,1.348725e+04
5050.00,1.343161e+04
5062.00,1.330995e+04
5074.00,1.329736e+04
5086.00,1.318203e+04
5098.00,1.315322e+04
5110.00,1.312274e+04
5122.00,1.294017e+04
5134.00,1.289833e+04
5146.00,1.277782e+04
5158.00,1.282392e+04
5170.00,1.261402e+04
5182.00,1.261069e+04
5194.00,1.251242e+04
5206.00,1.245605e+04
5218.00,1.238474e+04
5230.00,1.223516e+04
5242.00,1.224278e+04
5254.00,1.210786e+04
5266.00,1.206113e+04
5278.00,1.195635e+04
5290.00,1.193841e+04
5302.00,1.179038e+04
5314.00,1.173994e+04
5326.00,1.171055e+04
5338.00,1.162483e+04
5350.00,1.168516e+04
5362.00,1.145145e+04
5374.00,1.154087e+04
5386.00,1.137591e+04
5398.00,1.126621e+04
5410.00,1.120557e+04
5422.00,1.111998e+04
5434.00,1.106202e+04
5446.00,1.096167e+04
5458.00,1.100863e+04
5470.00,1.099153e+04
5482.00,1.078833e+04
5494.00,1.081685e+04
5506.00,1.074889e+04
5518.00,1.061301e+04
5530.00,1.058989e+04
5542.00,1.049400e+04
5554.00,1.043971e+04
5566.00,1.045223e+04
5578.00,1.026690e+04
5590.00,1.026503e+04
5602.00,1.027226e+04
5614.00,1.018065e+04
5626.00,1.019457e+04
5638.00,1.003470e+04
5650.00,1.003571e+04
5662.00,9.967942e+03
5674.00,9.992149e+03
5686.00,9.815593e+03
5698.00,9.908990e+03
5710.00,9.609639e+03
5722.00,9.676831e+03
5734.00,9.555687e+03
5746.00,9.643760e+03
5758.00,9.474773e+03
5770.00,9.376278e+03
5782.00,9.388101e+03
5794.00,9.360995e+03
5806.00,9.280341e+03
5818.00,9.320388e+03
5830.00,9.158648e+03
5842.00,9.128433e+03
5854.00,9.105462e+03
5866.00,9.034693e+03
5878.00,9.012794e+03
5890.00,8.964443e+03
5902.00,8.797076e+03
5914.00,8.811237e+03
5926.00,8.731043e+03
5938.00,8.794572e+03
5950.00,8.681046e+03
5962.00,8.587802e+03
5974.00,8.505158e+03
5986.00,8.560720e+03
5998.00,8.588938e+03
6010.00,8.538590e+03
6022.00,8.297730e+03
6034.00,8.317332e+03
6046.00,8.220033e+03
6058.00,8.164784e+03
6070.00,8.149049e+03
6082.00,8.120665e+03
6094.00,8.171538e+03
6106.00,8.041238e+03
6118.00,8.027828e+03
6130.00,8.088251e+03
6142.00,7.861842e+03
6154.00,7.874873e+03
6166.00,7.790211e+03
6178.00,7.830328e+03
6190.00,7.781626e+03
6202.00,7.604436e+03
6214.00,7.636825e+03
6226.00,7.636064e+03
6238.00,7.568283e+03
6250.00,7.512939e+03
6262.00,7.455393e+03
6274.00,7.495361e+03
6286.00,7.425313e+03
6298.00,7.316631e+03
6310.00,7.371234e+03
6322.00,7.380412e+03
6334.00,7.200164e+03
6346.00,7.213394e+03
6358.00,7.194285e+03
6370.00,7.098679e+03
6382.00,7.071714e+03
6394.00,7.047136e+03
6406.00,6.954453e+03
6418.00,7.001186e+03
6430.00,6.969615e+03
6442.00,6.781722e+03
6454.00,6.776019e+03
6466.00,6.851248e+03
6478.00,6.748919e+03
6490.00,6.714494e+03
6502.00,6.663130e+03
6514.00,6.595371e+03
6526.00,6.546176e+03
6538.00,6.708414e+03
6550.00,6.560957e+03
6562.00,6.469372e+03
6574.00,6.393537e+03
6586.00,6.475125e+03
6598.00,6.417478e+03
6610.00,6.386581e+03
6622.00,6.333636e+03
6634.00,6.346868e+03
6646.00,6.249327e+03
6658.00,6.197445e+03
6670.00,6.167697e+03
6682.00,6.185034e+03
6694.00,6.113468e+03
6706.00,6.032049e+03
6718.00,6.067911e+03
6730.00,6.048982e+03
6742.00,6.024680e+03
6754.00,6.035567e+03
6766.00,5.987248e+03
6778.00,5.864985e+03
6790.00,5.782691e+03
