wavelength_A,flux_erg_s_A
3549.774887443722,4.2937336408284385e+39
3553.2766383191597,4.280442579767958e+39
3556.7783891945974,4.266656720981951e+39
3560.280140070035,4.252351088985457e+39
3563.7818909454727,4.2375005301078834e+39
3567.2836418209104,4.2220798260526493e+39
3570.785392696348,4.2060638176198934e+39
3574.287143571786,4.1894275385100976e+39
3577.7888944472234,4.172146359029399e+39
3581.2906453226615,4.1541961394140257e+39
3584.792396198099,4.135553392382431e+39
3588.294147073537,4.11619545440959e+39
3591.7958979489745,4.096100665100438e+39
3595.297648824412,4.0752485539185265e+39
3598.79939969985,4.0536200334035796e+39
3602.3011505752875,4.0311975978887766e+39
3605.8029014507256,4.007965526606398e+39
3609.304652326163,3.983910089950921e+39
3612.806403201601,3.959019757552665e+39
3616.3081540770386,3.9332854067049825e+39
3619.8099049524762,3.9067005295844506e+39
3623.311655827914,3.8792614376094154e+39
3626.8134067033516,3.850967461198047e+39
3630.3151575787892,3.821821143115264e+39
3633.816908454227,3.7918284235397595e+39
3637.318659329665,3.7609988149393346e+39
3640.8204102051022,3.729345564816609e+39
3644.3221610805404,3.6968858043786474e+39
3647.823911955978,3.6636406811953794e+39
3651.3256628314157,3.629635473942001e+39
3654.8274137068533,3.5948996873731876e+39
3658.329164582291,3.559467125749851e+39
3661.8309154577287,3.5233759430347463e+39
3665.3326663331663,3.486668668290358e+39
3668.8344172086045,3.4493922048514106e+39
3672.336168084042,3.4115978020046437e+39
3675.83791895948,3.373340998089081e+39
3679.3396698349175,3.3346815341303295e+39
3682.841420710355,3.29568323734053e+39
3686.343171585793,3.2564138740503803e+39
3689.8449224612305,3.216944971888853e+39
3693.3466733366686,3.177351611287741e+39
3696.848424212106,3.137712186659779e+39
3700.350175087544,3.0981081378776464e+39
3703.8519259629816,3.058623652964632e+39
3707.3536768384192,3.019345343191859e+39
3710.855427713857,2.9803618920602704e+39
3714.3571785892946,2.941763679923052e+39
3717.8589294647322,2.9036423862739464e+39
3721.36068034017,2.866090571984883e+39
3724.862431215608,2.829201244019563e+39
3728.364182091045,2.793067405375012e+39
3731.8659329664833,2.7577815932071706e+39
3735.367683841921,2.723435408277307e+39
3738.8694347173587,2.6901190390095658e+39
3742.3711855927963,2.6579207835753067e+39
3745.872936468234,2.6269265735137387e+39
3749.3746873436717,2.5972195024597128e+39
3752.8764382191093,2.568879363576855e+39
3756.3781890945475,2.5419821992862814e+39
3759.879939969985,2.5165998668377583e+39
3763.381690845423,2.492799623190751e+39
3766.8834417208604,2.470643732558252e+39
3770.385192596298,2.4501890998165412e+39
3773.886943471736,2.4314869328011392e+39
3777.3886943471734,2.4145824362940464e+39
3780.890445222611,2.3995145402625126e+39
3784.3921960980488,2.3863156646369676e+39
3787.893946973487,2.3750115226186218e+39
3791.3956978489246,2.3656209641882983e+39
3794.897448724362,2.3581558611509067e+39
3798.3991995998,2.352621034698299e+39
3801.9009504752376,2.3490142261105748e+39
3805.402701350675,2.3473261108465964e+39
3808.904452226113,2.347540355902332e+39
3812.406203101551,2.3496337199448145e+39
3815.907953976988,2.3535761953641746e+39
3819.4097048524263,2.359331191030274e+39
3822.911455727864,2.3668557541978332e+39
3826.4132066033017,2.3761008296784194e+39
3829.9149574787393,2.3870115540925403e+39
3833.416708354177,2.3995275827337592e+39
3836.9184592296147,2.4135834463219643e+39
3840.4202101050523,2.42910893469732e+39
3843.9219609804904,2.4460295043120888e+39
3847.4237118559276,2.4642667062162257e+39
3850.9254627313658,2.4837386311058467e+39
3854.4272136068034,2.5043603679118792e+39
3857.928964482241,2.526044472350549e+39
3861.4307153576788,2.5487014418370067e+39
3864.9324662331164,2.5722401931786637e+39
3868.434217108554,2.5965685395144177e+39
3871.9359679839918,2.6215936630487834e+39
3875.43771885943,2.6472225802444054e+39
3878.9394697348675,2.6733625962804823e+39
3882.441220610305,2.699921745756149e+39
3885.942971485743,2.726809216813932e+39
3889.4447223611805,2.7539357560767923e+39
3892.946473236618,2.7812140520294124e+39
3896.448224112056,2.808559094727563e+39
3899.9499749874935,2.8358885099852584e+39
3903.451725862931,2.8631228664645604e+39
3906.9534767383693,2.8901859543742953e+39
3910.455227613807,2.917005034768069e+39
3913.9569784892446,2.9435110587158944e+39
3917.4587293646823,2.969638855904167e+39
3920.96048024012,2.995327292492922e+39
3924.4622311155576,3.0205193983245314e+39
3927.9639819909953,3.045162463831551e+39
3931.4657328664334,3.0692081072313805e+39
3934.9674837418706,3.0926123128193795e+39
3938.4692346173088,3.115335441378622e+39
3941.9709854927464,3.137342213911938e+39
3945.472736368184,3.158601670069364e+39
3948.9744872436218,3.179087102790313e+39
3952.4762381190594,3.1987759708046655e+39
3955.977988994497,3.2176497907397806e+39
3959.4797398699347,3.2356940106615007e+39
3962.981490745373,3.252897866936474e+39
3966.48324162081,3.269254226341418e+39
3969.984992496248,3.28475941536279e+39
3973.486743371686,3.299413038628411e+39
