shell,Z,ion,subband,lam_lo,lam_hi,tau_sum_vol_weighted,tau_sum_raw,n_lines
15,26,2,OI/cont,6800,8000,2.3041370036875423e+49,2310.753538591712,809
15,27,0,OI/cont,6800,8000,9.611293935352536e+37,9.63889362308626e-09,2
15,27,1,OI/cont,6800,8000,7.310870348746458e+46,7.331864164984349,144
15,28,0,OI/cont,6800,8000,6.477039820624487e+39,6.49563921813439e-07,4
15,28,2,OI/cont,6800,8000,1.560415324305034e+42,0.000156489619607687,13
15,6,0,Ca IR,8000,9500,1.494026132245277e+52,1498316.3615310888,116
15,6,1,Ca IR,8000,9500,4.707305900138922e+53,47208233.488596484,354
15,6,2,Ca IR,8000,9500,1.791762881417764e+40,1.7969080883329447e-06,26
15,6,3,Ca IR,8000,9500,34253057107.66708,3.4351417816064497e-36,3
15,8,0,Ca IR,8000,9500,7.501937681037095e+53,75234801.641603,104
15,8,1,Ca IR,8000,9500,8.291212627697035e+52,8315021.5842223,353
15,12,0,Ca IR,8000,9500,2.946391584035975e+43,0.0029548524102481002,211
15,12,1,Ca IR,8000,9500,2.1004546861476178e+52,2106486.329111244,184
15,12,2,Ca IR,8000,9500,1.0863708094385268e+50,10894.904201075182,64
15,12,3,Ca IR,8000,9500,1.7801305161663529e+37,1.7852423197072632e-09,5
15,14,0,Ca IR,8000,9500,3.2396846817341767e+47,32.48987725234148,174
15,14,1,Ca IR,8000,9500,3.9914079990064144e+52,4002869.6830555587,290
15,14,2,Ca IR,8000,9500,3.7062427338873956e+48,371.6885540444838,137
15,20,0,Ca IR,8000,9500,2.0602021950637087e+39,2.066118249409206e-07,419
15,20,1,Ca IR,8000,9500,5.323867018389209e+48,533.9154977349964,1675
15,20,2,Ca IR,8000,9500,5.710575539600146e+51,572697.3966568765,1066
15,22,0,Ca IR,8000,9500,1.1786948773687343e+39,1.1820796048328543e-07,202
15,22,1,Ca IR,8000,9500,3.103484007701051e+48,311.2395938818265,1366
15,22,2,Ca IR,8000,9500,1.036184685559591e+49,1039.1601822979355,914
15,24,0,Ca IR,8000,9500,1.1403791015606852e+42,0.00011436538018573197,802
15,24,1,Ca IR,8000,9500,8.268612425007e+50,82923.56483034605,7715
15,24,2,Ca IR,8000,9500,3.001302946486048e+50,30099.214555728046,1453
15,25,0,Ca IR,8000,9500,3.436232767397892e+41,3.446100216255297e-05,326
15,25,1,Ca IR,8000,9500,8.755332844205118e+49,8780.474563325377,5131
15,25,2,Ca IR,8000,9500,1.531141009918875e+50,15355.378178860752,17584
15,26,0,Ca IR,8000,9500,6.734608854315723e+42,0.0006753947884277568,101
15,26,1,Ca IR,8000,9500,1.3376346443675759e+51,134147.5781547926,1094
15,26,2,Ca IR,8000,9500,2.551492883293646e+49,2558.819722666928,715
15,27,0,Ca IR,8000,9500,1.7236011214179137e+38,1.728550595760141e-08,14
15,27,1,Ca IR,8000,9500,2.4728538410134625e+46,2.4799548613632902,142
15,28,0,Ca IR,8000,9500,1.530077331404392e+39,1.5344710849238722e-07,5
16,6,0,5500-5800,5500,5800,2.380218736775793e+49,2246.691766106738,8
16,6,1,5500-5800,5500,5800,7.546269428707384e+51,712293.4177581382,80
16,6,2,5500-5800,5500,5800,5.0940796591738795e+38,4.80830885385801e-08,4
16,8,0,5500-5800,5500,5800,1.1258008287356119e+52,1062644.9633039308,19
16,8,1,5500-5800,5500,5800,5.054421448015507e+48,477.0875413354667,7
16,8,2,5500-5800,5500,5800,2.3942191944131163e+30,2.2599068174839525e-16,2
16,12,0,5500-5800,5500,5800,1.3774194798498211e+42,0.00013001481569906327,65
16,12,1,5500-5800,5500,5800,6.464336586948332e+50,61016.96268012948,32
16,12,2,5500-5800,5500,5800,6.381475562145378e+48,602.3483631804506,37
16,14,0,5500-5800,5500,5800,7.877640183782381e+45,0.7435715492782706,55
16,14,1,5500-5800,5500,5800,3.6882929191468974e+51,348138.4800651483,82
16,14,2,5500-5800,5500,5800,3.539441846769687e+47,33.408840670344375,61
16,20,0,5500-5800,5500,5800,1.4423743565471637e+39,1.3614591551731263e-07,175
16,20,1,5500-5800,5500,5800,2.0763718557380092e+47,19.598902737743526,380
16,20,2,5500-5800,5500,5800,1.0622021432491185e+49,1002.6140758858825,31
16,20,3,5500-5800,5500,5800,8.745553520070124e+40,8.25494009437258e-06,1
16,22,0,5500-5800,5500,5800,5.0539968168889614e+38,4.7704746034455184e-08,115
16,22,1,5500-5800,5500,5800,5.751633537576898e+47,54.28974871461404,348
16,22,2,5500-5800,5500,5800,4.91833537328449e+48,464.2423578716092,628
16,22,3,5500-5800,5500,5800,4.403458717522895e+32,4.1564307894033383e-14,1
16,24,0,5500-5800,5500,5800,2.4854547184973244e+41,2.3460241551762366e-05,307
16,24,1,5500-5800,5500,5800,1.0802344035886861e+50,10196.347514243324,2267
16,24,2,5500-5800,5500,5800,1.2613073675665473e+50,11905.497732028214,1291
16,25,0,5500-5800,5500,5800,3.04217207058182e+40,2.8715104357654143e-06,85
16,25,1,5500-5800,5500,5800,6.168266358843553e+48,582.2235169167307,1494
16,25,2,5500-5800,5500,5800,2.3272132884216915e+49,2196.659849906772,5514
16,26,0,5500-5800,5500,5800,2.1016831502867747e+42,0.00019837816397961347,50
16,26,1,5500-5800,5500,5800,1.7361620082859104e+50,16387.657270218002,521
16,26,2,5500-5800,5500,5800,9.868746379385847e+49,9315.12339172481,1094
16,27,0,5500-5800,5500,5800,2.2972585612425007e+36,2.168385541386445e-10,6
16,27,1,5500-5800,5500,5800,2.1843961017353594e+45,0.2061854509360066,52
16,28,0,5500-5800,5500,5800,3.674288683549471e+38,3.4681661832524894e-08,3
16,28,2,5500-5800,5500,5800,9.244348364193767e+43,0.008725753239380876,49
16,6,0,Si red,5800,6800,5.160940731832165e+50,48714.19113051212,20
16,6,1,Si red,5800,6800,1.2714194187107169e+53,12000945.522993974,230
16,6,2,Si red,5800,6800,6.574458551797356e+38,6.2056405433315e-08,2
16,8,0,Si red,5800,6800,2.5694989236217517e+53,24253535.969307415,89
16,8,1,Si red,5800,6800,2.602648053853323e+52,2456643.1069216407,291
16,8,2,Si red,5800,6800,6.724100950566317e+30,6.346888211026989e-16,3
16,12,0,Si red,5800,6800,5.3423307834611435e+42,0.0005042633434303271,286
16,12,1,Si red,5800,6800,8.86537814317853e+51,836804.2722276082,119
16,12,2,Si red,5800,6800,1.155200959314406e+49,1090.3957873241275,58
16,12,3,Si red,5800,6800,2.309831977700389e+37,2.180253606615624e-09,3
16,14,0,Si red,5800,6800,3.62752029540578e+46,3.424021436833575,209
16,14,1,Si red,5800,6800,8.133526039081478e+51,767724.6506416523,277
16,14,2,Si red,5800,6800,3.1202938492184845e+48,294.52496909459524,160
16,20,0,Si red,5800,6800,2.0587556111480892e+39,1.943262276078852e-07,503
16,20,1,Si red,5800,6800,5.611418576986419e+48,529.6625775734879,1986
16,20,2,Si red,5800,6800,4.631610782645706e+50,43717.8384003347,656
16,20,3,Si red,5800,6800,3.2444661416068607e+41,3.0624560899113936e-05,8
16,22,0,Si red,5800,6800,2.92244215409492e+38,2.758497201573273e-08,287
16,22,1,Si red,5800,6800,1.0843294700456669e+48,102.35000903313865,966
16,22,2,Si red,5800,6800,3.9086146087254295e+49,3689.346748947599,2033
16,22,3,Si red,5800,6800,8.091681814099296e+32,7.637749684433712e-14,2
16,24,0,Si red,5800,6800,3.783702252059294e+41,3.5714418022841904e-05,609
16,24,1,Si red,5800,6800,3.7111847572840376e+50,35029.9243841146,7042
16,24,2,Si red,5800,6800,3.865399900348024e+50,36485.56325787694,2831
16,24,3,Si red,5800,6800,2.4559175778990342e+28,2.3181440072086565e-18,1
16,25,0,Si red,5800,6800,1.3762535237534152e+41,1.2990476094144945e-05,221
16,25,1,Si red,5800,6800,7.240484358191368e+49,6834.3032255129565,5753
16,25,2,Si red,5800,6800,5.257622680942178e+49,4962.677338877486,14062
16,26,0,Si red,5800,6800,3.154829810891445e+42,0.00029778482330573895,159
16,26,1,Si red,5800,6800,1.7386969516231065e+51,164115.8463552788,2123
16,26,2,Si red,5800,6800,6.605238953888902e+49,6234.694207546498,1658
16,27,0,Si red,5800,6800,8.381939674502054e+36,7.911724481345859e-10,5
16,27,1,Si red,5800,6800,6.72629425459565e+46,6.348958473741561,116
16,28,0,Si red,5800,6800,1.5637333710177847e+40,1.4760100972110453e-06,2
16,28,2,Si red,5800,6800,7.457569588217368e+43,0.00703921027514969,68
16,6,0,OI/cont,6800,8000,2.3248738751933064e+51,219445.1674516617,15
16,6,1,OI/cont,6800,8000,1.1007986145157348e+53,10390453.386331644,312
16,6,2,OI/cont,6800,8000,9.161847389482413e+39,8.647880454953147e-07,28
16,6,3,OI/cont,6800,8000,161082192411.16464,1.520457047770373e-35,8
16,8,0,OI/cont,6800,8000,1.3793060923498927e+53,13019289.331454689,30
16,8,1,OI/cont,6800,8000,2.2214084828996914e+51,209679.05472632672,57
16,8,2,OI/cont,6800,8000,2.975956957909303e+31,2.809009899098482e-15,8
